ISBE Name,Latitude,Longitude
Libby Elem School,41.8629325866999,-87.7129561530999
Lincoln Elem School,41.9068255735,-87.7545866804999
Lincoln Park High School,41.8021046709,-87.6119314691
Lindblom Math & Science Acad HS,41.8944493760999,-87.7261296105999
Youth Connections Charter HS,41.8096680576,-87.5993393938999
Little Village Elem School,41.795030382,-87.7915811457999
Lloyd Elem School,41.9245522509,-87.6444981344999
Locke  A Elem Charter Academy,41.8772757921,-87.7052350035999
Locke  J Elem School,41.9400085349999,-87.7026714153
Logandale Middle School,41.9519884365999,-87.7202837620999
Garcia Lorca Elementary School,41.9050816855,-87.6448406240999
Lovett Elem School,41.9188136642,-87.7485517509999
Lowell Elem School,41.9317629597,-87.7955673303
Lozano Elem Bilingual & Intl Ctr,41.7897225962,-87.7791785902
,41.7526966442,-87.5508909663
Lyon Elem School,41.9127454659,-87.7839193927
Madero Middle School,41.9711409283999,-87.7097007456
Madison Elem School,41.9064921535999,-87.7102163819999
,41.7520153166,-87.5759196738
Manierre Elem School,41.9341914723,-87.7772109386
Manley Career Academy High School,41.9547635348,-87.6689894456
Mann Elem School,41.9082475200999,-87.6397897875
Marine Military Academy HS,41.8641432816,-87.7020776091
Marquette Elem School,41.9204833931,-87.7582128207999
Marsh Elem School,41.7482744912,-87.5747789970999
Marshall Metropolitan High School,41.9466720153999,-87.6910127403999
Marshall Middle School,41.8238993026999,-87.6921136053999
Mason Elem School,41.7165883935999,-87.5524468039999
Mather High School,41.8709663946999,-87.6998962076999
Mayer Elem School,41.8569071431,-87.7304697444999
Mays Elem Academy,42.0077300036,-87.6731692638999
Mcauliffe Elem School,41.8527465737999,-87.6962438184
Mcclellan Elem School,41.9232041885,-87.6572507048
Mccormick Elem School,41.8742722042999,-87.6609838427
Mccutcheon Elem School,41.7798999846,-87.6172508357999
Mcdade Elem Classical School,41.8422679111,-87.7062634082
Mcdowell Elem School,41.8735875291,-87.7492388514999
Mckay Elem School,41.7754233487,-87.6093938647999
Mcnair Elem School,41.7606731545999,-87.6067543902999
Mcpherson Elem School,41.7681425334,-87.6918231573999
Melody Elem School,41.7727093812,-87.6372498126
Metcalfe Elem Community Academy,41.6853909609,-87.6216520739999
Mireles Elem Academy,41.8103337502,-87.6687353374999
Mitchell Elem School,41.9239826925999,-87.7615156173
Mollison Elem School,41.8737875077,-87.7022406164
Monroe Elem School,41.9678474245,-87.6762514904999
Montefiore Special Elem School,41.8921096003999,-87.6831854338999
Montessori of Englewood Elem Chrt,41.7741643482,-87.6750599476
Moos Elem School,41.9300160379999,-87.7192245682
Morgan Park High School,41.8784166475999,-87.7080494805999
Morrill Elem Math & Sci School,41.8647245887,-87.6664075250999
Morton Elem Career Academy,41.8589108874,-87.7157439170999
Mount Greenwood Elem School,41.9490307347999,-87.6515741720999
Mount Vernon Elem School,41.9701523222,-87.7896307864999
Mozart Elem School,41.7019527765,-87.647615879
Multicultural Acad of Scholarshp HS,41.8360356836,-87.7341216358999
Murphy Elem School,41.776583707,-87.7906051502999
Murray Elem Language Academy,41.9209102466,-87.7218514096
Namaste Elem Charter School,41.8256990471,-87.6677607193999
Nash Elem School,41.7985350753,-87.5933770745999
National Teachers Elem Academy,41.9070804401999,-87.6777617715
Neil Elem School,41.6648727374999,-87.6389943132
Nettelhorst Elem School,41.8922020003999,-87.7472156802
New Field Elem School,41.7603154703,-87.5568187039
Sullivan Elem School,41.9953581505,-87.6848295525
Newberry Elem Math & Science Acad,41.7384060372,-87.6209700858999
Nicholson Technology Acad Elem Sch,41.7742190124,-87.6535318037
Nightingale Elem School,41.9416372614999,-87.6445244788999
Nixon Elem School,41.9139197798999,-87.6459896191999
Nkrumah Academy Charter School,41.698021,87.631063
Nobel Elem School,41.7977149353,-87.6891021991
,41.7337060934999,-87.5577592350999
Noble Street Charter High School,41.878781373,-87.6781944863
Noble Street Charter High School,41.7652544242999,-87.6045981285
Noble Street Charter High School,41.8952547585,-87.6644822348
Noble Street Charter High School,41.7783700537,-87.6350800446
Noble Street Charter High School,41.8820856510999,-87.6277411126
Noble Street Charter High School,41.9001910321999,-87.6625910573
Noble Street Charter High School,41.9152415488999,-87.7301268312999
,41.7074460748,-87.6030643545
Noble Street Charter High School,41.8693119926999,-87.7105633272
Noble Street Charter High School,41.8924524492,-87.6608595527
Noble Street Charter High School,41.8953896976999,-87.7180472999999
Noble Street Charter High School,41.7344423063999,-87.6509501031
Noble Street Charter High School,41.8658167123999,-87.6761476289999
North River Elem School,41.7388432822,-87.7299919212999
North-Grand High School,41.9015461529999,-87.6344637275999
Northside Learning Center,41.8989952772,-87.6674461466
Northside College Preparatory Hs,41.8037718312,-87.5904575634999
Northwest Middle School,41.7595476520999,-87.5907490421
Norwood Park Elem School,41.9195808825,-87.7314568265999
North Lawndale Charter HS,41.8585191307,-87.7079522422999
North Lawndale Charter HS,41.8641432816,-87.7020776091
O'Keeffe Elem School,41.8999764896,-87.6292965702999
O'Toole Elem School,41.900140258,-87.7312238732999
Ogden Elem School,41.9881325586,-87.8029541813999
Ogden Int High School,41.893528,87.65941
Oglesby Elem School,41.9069064975999,-87.7324798199
,41.8664504126999,-87.7066031327999
,41.7668209818,-87.5858670779
,41.9394057688,-87.7052061095999
Onahan Elem School,41.7546705687,-87.6454328546
Oriole Park Elem School,41.7686028940999,-87.5727693081
Orozco Elem Fine Arts & Sciences,41.7337060934999,-87.5577592350999
Orr Academy High School,41.8360356836,-87.7341216358999
Ortiz De Dominguez Elem School,41.8133044604999,-87.6433075667
Otis Elem School,41.9785009929,-87.8120172661
Owen Elem Scholastic Academy,41.8918055749999,-87.6654629566999
Palmer Elem School,41.7428493855,-87.7057857222
Park Manor Elem School,41.9732888376999,-87.7392497114999
Parker Elem Community Academy,41.8273827043,-87.6197802794
Parkside Elem Community Academy,41.7707911322999,-87.6352295467
Pasteur Elem School,41.7664760122,-87.6115822409
Pathways in Education HS,41.8685484458,-87.6649682523
,41.7638954211999,-87.6491609928
Payton College Preparatory HS,41.8730667,-87.6276386214999
Peace And Education Coalition HS,41.8360356836,-87.7341216358999
Peck Elem School,41.7685557097,-87.5829177340999
Peirce Elem Intl Studies School,41.787871535,-87.7192154677999
Penn Elem School,41.8715949308,-87.6836523588
Perez Elem School,41.845603033,-87.7311561742999
Pershing Elem Humanities Magnet,41.7285346238,-87.5962199891999
Perspectives Charter High School,41.7459346286999,-87.6523281373
Perspectives Charter High School,41.8277834128999,-87.6248244054
Perspectives Charter High School,41.8559760517999,-87.6285109891999
Perspectives Charter High School,41.7459346286999,-87.6523281373
Peterson Elem School,41.8481015258999,-87.6807078424999
Phillips Academy High School,41.6920111235999,-87.6656755724
Phoenix Military Academy HS,41.7653075455,-87.6413336827999
Piccolo Elem Specialty School,41.9937629086999,-87.7931081141999
Pickard Elem School,41.981557604,-87.7125458043999
Pilsen Elem Community Academy,41.9846415011,-87.7004926531
Pirie Elem Fine Arts & Academic C,41.7066023113999,-87.6476137787999
Plamondon Elem School,41.8529278365,-87.6832907521999
Plato Learning Acad Elem School,41.872787867,-87.7633375334
Poe Elem Classical School,41.7403127991,-87.6078902626999
Polaris Elem Charter Academy,41.8925508275999,-87.7077597579
Portage Park Elem School,41.7026305459,-87.6063825628999
Powell Elem Paideia Comm Academy,41.8143577578999,-87.6166546200999
Prescott Elem School,41.8932361946,-87.7187605735
Prieto Math-Science Elem Sch,41.7677825488,-87.5903965778999
Pritzker Elem School,41.8400798349999,-87.7255823309999
Prologue Early College CONTR HS,41.9028970912,-87.6637407343
Prologue - Johnston Fine Arts HS,41.7211638933,-87.6624163144
Prosser Career Academy HS,41.8402261095,-87.6176007457
Providence-Englewood Elem Charter,41.7753667499,-87.6640324802999
Prussing Elem School,41.9569601996999,-87.7610063873
Pulaski Intl School,41.9288136628999,-87.6695269023
Pullman Elem School,41.9656197799999,-87.7723774098
Raby High School,41.9339427617999,-87.7080400419
Randolph Elem School,41.8370377183999,-87.7186957209
Ravenswood Elem School,41.9184588446999,-87.6838005627
Ray Elem School,41.6888189008,-87.6094675728
Reavis Elem Math & Sci Spec Schl,41.9607463297,-87.6708856627
Reilly Elem School,41.7923473448,-87.5947887349
Reinberg Elem School,41.8041463539999,-87.6049248366999
Revere Elem School,41.9410665521999,-87.7195400127999
Richards Career Academy HS,41.9200600619,-87.7610115834
Rickover Naval Academy High Schl,41.8035152649,-87.6673410967
Robeson High School,41.8485592149,-87.7087423234
Robinson Elem School,41.8798972542999,-87.6803158788
Rogers Elem School,41.9430182808999,-87.7690193657
Roosevelt High School,41.6927350913,-87.6163519043
Rowe Elementary,41.907797772,-87.6640357412999
Rudolph Elem Learning Center,41.8788478048999,-87.6887239489
Ruggles Elem School,42.015265313,-87.6972221893999
Ruiz Elem School,41.8583871238,-87.7212629729999
Ryder Elem Math & Sci Spec School,41.8071423342,-87.6660736056
Sabin Elem Magnet School,41.7589252626,-87.6491800499999
Salazar Elem Bilingual Center,41.9421377377,-87.7764315432
Sandoval Elem School,41.7650484604999,-87.6582040612999
Saucedo Elem Scholastic Academy,41.8580653653,-87.6522648960999
Sauganash Elem School,41.7519451212999,-87.6181030892
